Alias	Name
MI0006397	hsa-mir-1262
MI0006398	hsa-mir-1263
MI0006399	hsa-mir-548n
MI0006400	hsa-mir-548m
MI0006401	hsa-mir-1265
MI0006402	hsa-mir-548o
MI0006403	hsa-mir-1266
MI0006404	hsa-mir-1267
MI0006405	hsa-mir-1268a
MI0006406	hsa-mir-1269a
MI0006407	hsa-mir-1270-1
MI0006408	hsa-mir-1272
MI0006409	hsa-mir-1273a
MI0006411	hsa-mir-548h-1
MI0006412	hsa-mir-548h-2
MI0006413	hsa-mir-548h-3
MI0006414	hsa-mir-548h-4
MI0006415	hsa-mir-1275
MI0006416	hsa-mir-1276
MI0006417	hsa-mir-302e
MI0006418	hsa-mir-302f
MI0006419	hsa-mir-1277
MI0006420	hsa-mir-548p
MI0006421	hsa-mir-548i-1
MI0006422	hsa-mir-548i-2
MI0006423	hsa-mir-548i-3
MI0006424	hsa-mir-548i-4
MI0006425	hsa-mir-1278
MI0006426	hsa-mir-1279
MI0006428	hsa-mir-1281
MI0006429	hsa-mir-1282
MI0006430	hsa-mir-1283-2
MI0006431	hsa-mir-1284
MI0006432	hsa-mir-1288
MI0006433	hsa-mir-1292
MI0006434	hsa-mir-1252
MI0006435	hsa-mir-1255b-1
MI0006436	hsa-mir-1255b-2
MI0006442	hsa-mir-664a
MI0006443	hsa-mir-1306
MI0006444	hsa-mir-1307
MI0006648	hsa-mir-513b
MI0006649	hsa-mir-513c
MI0006652	hsa-mir-1321
MI0006653	hsa-mir-1322
MI0006656	hsa-mir-1197
MI0006657	hsa-mir-1324
MI0007074	hsa-mir-1469
MI0007075	hsa-mir-1470
MI0007076	hsa-mir-1471
MI0007258	hsa-mir-1537
MI0007259	hsa-mir-1538
MI0007260	hsa-mir-1539
MI0007261	hsa-mir-103b-1
MI0007262	hsa-mir-103b-2
MI0008190	hsa-mir-320d-1
MI0008191	hsa-mir-320c-2
MI0008192	hsa-mir-320d-2
MI0008193	hsa-mir-1825
MI0008195	hsa-mir-1827
MI0008329	hsa-mir-1908
MI0008330	hsa-mir-1909
MI0008331	hsa-mir-1910
MI0008332	hsa-mir-1911
MI0008333	hsa-mir-1912
MI0008334	hsa-mir-1913
MI0008335	hsa-mir-1914
MI0008336	hsa-mir-1915
MI0009982	hsa-mir-1972-1
MI0009983	hsa-mir-1973
MI0009986	hsa-mir-1976
MI0010486	hsa-mir-2052
MI0010487	hsa-mir-2053
MI0010488	hsa-mir-2054
MI0010629	hsa-mir-2110
MI0010633	hsa-mir-2114
MI0010634	hsa-mir-2115
MI0010635	hsa-mir-2116
MI0010636	hsa-mir-2117
MI0010637	hsa-mir-548q
MI0011282	hsa-mir-2276
MI0011284	hsa-mir-2277
MI0011285	hsa-mir-2278
MI0012062	hsa-mir-2681
MI0012063	hsa-mir-2682
MI0012488	hsa-mir-711
MI0012489	hsa-mir-718
MI0013006	hsa-mir-2861
MI0013083	hsa-mir-2909
MI0014127	hsa-mir-3115
MI0014128	hsa-mir-3116-1
MI0014129	hsa-mir-3116-2
MI0014130	hsa-mir-3117
MI0014131	hsa-mir-3118-1
MI0014132	hsa-mir-3118-2
MI0014133	hsa-mir-3118-3
MI0014134	hsa-mir-3119-1
MI0014135	hsa-mir-3119-2
MI0014136	hsa-mir-3120
MI0014137	hsa-mir-3121
MI0014138	hsa-mir-3122
MI0014139	hsa-mir-3123
MI0014140	hsa-mir-3124
MI0014141	hsa-mir-548s
MI0014142	hsa-mir-3125
MI0014143	hsa-mir-3126
MI0014144	hsa-mir-3127
MI0014145	hsa-mir-3128
MI0014146	hsa-mir-3129
MI0014147	hsa-mir-3130-1
MI0014148	hsa-mir-3130-2
MI0014151	hsa-mir-3131
MI0014152	hsa-mir-3132
MI0014153	hsa-mir-3133
MI0014154	hsa-mir-378b
MI0014155	hsa-mir-3134
MI0014156	hsa-mir-3135a
MI0014157	hsa-mir-466
MI0014158	hsa-mir-3136
MI0014159	hsa-mir-544b
MI0014160	hsa-mir-3137
MI0014161	hsa-mir-3138
MI0014162	hsa-mir-3139
MI0014163	hsa-mir-3140
MI0014164	hsa-mir-548t
MI0014165	hsa-mir-3141
MI0014166	hsa-mir-3142
MI0014167	hsa-mir-3143
MI0014168	hsa-mir-548u
MI0014169	hsa-mir-3144
MI0014170	hsa-mir-3145
MI0014171	hsa-mir-1273c
MI0014172	hsa-mir-3146
MI0014173	hsa-mir-3147
MI0014174	hsa-mir-548v
MI0014175	hsa-mir-3148
MI0014176	hsa-mir-3149
MI0014177	hsa-mir-3150a
MI0014178	hsa-mir-3151
MI0014179	hsa-mir-3152
MI0014180	hsa-mir-3153
MI0014181	hsa-mir-3074
MI0014182	hsa-mir-3154
MI0014183	hsa-mir-3155a
MI0014184	hsa-mir-3156-1
MI0014185	hsa-mir-3157
MI0014186	hsa-mir-3158-1
MI0014187	hsa-mir-3158-2
MI0014188	hsa-mir-3159
MI0014189	hsa-mir-3160-1
MI0014190	hsa-mir-3160-2
MI0014191	hsa-mir-3161
MI0014192	hsa-mir-3162
MI0014193	hsa-mir-3163
MI0014194	hsa-mir-3164
MI0014195	hsa-mir-3165
MI0014196	hsa-mir-3166
MI0014197	hsa-mir-1260b
MI0014198	hsa-mir-3167
MI0014199	hsa-mir-3168
MI0014200	hsa-mir-3169
MI0014201	hsa-mir-3170
MI0014202	hsa-mir-3171
MI0014204	hsa-mir-3173
MI0014205	hsa-mir-1193
MI0014206	hsa-mir-323b
MI0014207	hsa-mir-3118-4
MI0014208	hsa-mir-3174
MI0014209	hsa-mir-3175
MI0014210	hsa-mir-3176
MI0014211	hsa-mir-3177
MI0014212	hsa-mir-3178
MI0014213	hsa-mir-3179-1
MI0014214	hsa-mir-3180-1
MI0014215	hsa-mir-3180-2
MI0014216	hsa-mir-3179-2
MI0014217	hsa-mir-3180-3
MI0014221	hsa-mir-3179-3
MI0014222	hsa-mir-548w
MI0014223	hsa-mir-3181
MI0014224	hsa-mir-3182
MI0014225	hsa-mir-3183
MI0014226	hsa-mir-3184
MI0014227	hsa-mir-3185
MI0014228	hsa-mir-3065
MI0014229	hsa-mir-3186
MI0014230	hsa-mir-3156-2
MI0014231	hsa-mir-3187
MI0014232	hsa-mir-3188
MI0014233	hsa-mir-3189
MI0014234	hsa-mir-320e
MI0014235	hsa-mir-3190
MI0014236	hsa-mir-3191
MI0014237	hsa-mir-3192
MI0014238	hsa-mir-3193
MI0014239	hsa-mir-3194
MI0014240	hsa-mir-3195
